Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
adobe,7,-0.25,0.43658806102038183,3,2025-12-08,2026-01-12,-0.08838834764831843,0.08838834764831843,0.08838834764831843
black,5,-0.17857142857142855,0.36670446092276265,3,2025-12-01,2026-01-12,-0.07290148043997553,0.07290148043997553,0.07290148043997553
trends creative,10,-0.21428571428571427,0.654456941831697,3,2025-12-08,2025-12-22,-0.0646095738380922,0.0646095738380922,0.0646095738380922
care,4,-0.035714285714285705,0.8343306281546261,3,2025-12-08,2026-01-12,-0.015971914124998494,0.015971914124998494,0.015971914124998494
creative,51,-0.10714285714285711,0.9097568290491227,6,2025-12-08,2026-01-12,-0.014858040970318634,0.014858040970318634,0.014858040970318634
art,5,-0.03571428571428571,0.9125666215515942,2,2025-12-15,2026-01-12,-0.014580296087995109,0.014580296087995109,0.014580296087995109
report,6,-1.586032892321652e-17,1.0,3,2025-12-08,2026-01-12,-5.994640863216536e-18,5.994640863216536e-18,5.994640863216536e-18
biggest,8,-1.586032892321652e-17,1.0,3,2025-12-15,2026-01-12,-5.28677630773884e-18,5.28677630773884e-18,5.28677630773884e-18
beginners,4,-7.93016446160826e-18,1.0,1,2025-12-22,2025-12-22,-3.546477361781818e-18,3.546477361781818e-18,3.546477361781818e-18
breaking rules,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
breaking rules bringing,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
bringing joy,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
bringing joy typography,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
joy typography,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
joy typography trends,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
rules bringing,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
rules bringing joy,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
trends creative bloq,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
typography trends creative,6,-3.96508223080413e-18,1.0,1,2025-12-22,2025-12-22,-1.498660215804134e-18,1.498660215804134e-18,1.498660215804134e-18
bloq breaking,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
bloq breaking rules,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
creative bloq breaking,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
edit,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
edit tutorial,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
typography edit,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
typography edit tutorial,3,-1.982541115402065e-18,1.0,1,2025-12-22,2025-12-22,-9.912705577010326e-19,9.912705577010326e-19,9.912705577010326e-19
