Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
strong,125,10.428571428571429,0.08708940443121922,2,2026-08-03,2026-08-10,0.9290509837908085,-0.9290509837908085,0.9290509837908085
figure,60,6.178571428571428,0.09594578126741289,2,2026-08-03,2026-08-10,0.7910850081568215,-0.7910850081568215,0.7910850081568215
machine,41,4.321428571428571,0.12317536179512437,2,2026-08-03,2026-08-10,0.6668109051933258,-0.6668109051933258,0.6668109051933258
figcaption,44,4.464285714285714,0.08040694915218219,2,2026-08-03,2026-08-10,0.6654964218749374,-0.6654964218749374,0.6654964218749374
website,50,4.607142857142857,0.03593612660984629,3,2026-07-20,2026-08-10,0.6451290387129044,-0.6451290387129044,0.6451290387129044
src,40,4.035714285714286,0.07497192212957995,2,2026-08-03,2026-08-10,0.6302726819075888,-0.6302726819075888,0.6302726819075888
people,42,4.035714285714286,0.14082362469524445,3,2026-07-13,2026-08-10,0.6154406588422974,-0.6154406588422974,0.6154406588422974
alt,36,3.642857142857143,0.07778953814545005,2,2026-08-03,2026-08-10,0.5988820251838016,-0.5988820251838016,0.5988820251838016
blockquote,36,3.571428571428571,0.060352185890836955,2,2026-08-03,2026-08-10,0.5871392403762761,-0.5871392403762761,0.5871392403762761
trust,33,3.3571428571428568,0.15224203398901923,2,2026-07-06,2026-08-10,0.5757452501212795,-0.5757452501212795,0.5757452501212795
wrong,29,3.1071428571428568,0.14381080871160395,1,2026-08-10,2026-08-10,0.5672840774160648,-0.5672840774160648,0.5672840774160648
like,35,3.25,0.12632381437578283,4,2026-06-29,2026-08-10,0.5416666666666666,-0.5416666666666666,0.5416666666666666
img,30,3.0,0.06693300214386128,2,2026-08-03,2026-08-10,0.5388159060803247,-0.5388159060803247,0.5388159060803247
img alt,30,3.0,0.06693300214386128,2,2026-08-03,2026-08-10,0.5388159060803247,-0.5388159060803247,0.5388159060803247
models,38,3.142857142857143,0.04920683080105627,3,2026-06-29,2026-08-10,0.5032599119588452,-0.5032599119588452,0.5032599119588452
real,27,2.642857142857143,0.050687009114118595,2,2026-08-03,2026-08-10,0.49945305361933595,-0.49945305361933595,0.49945305361933595
figure img,25,2.5,0.06693300214386119,2,2026-08-03,2026-08-10,0.4902903378454601,-0.4902903378454601,0.4902903378454601
